Membership No  Date Joined  Active  
    16181      2020-1-8     no    
    89148      2020-3-16    yes   
    40668      2019-11-15   yes   
    83721      2018-3-25    no    
    46798      2018-10-13   no    
    53290      2019-12-25   no    
    49714      2016-1-13    no    
    29632      2019-12-3    yes   
    15157      2018-8-11    yes   
    62740      2016-6-8     no    
    64089      2017-4-19    no    
    90607      2019-5-18    yes   
    50358      2015-1-7     no    
    81605      2015-2-11    no    
    94187      2015-7-15    yes   
    63480      2020-3-9     yes   
    20888      2016-5-6     yes   
    94772      2019-10-7    no    
    64268      2018-7-23    yes   
    84395      2015-4-22    yes   
