Membership No  Date Joined  Active  
    40933      2015-3-20    no    
    31198      2020-8-15    no    
    26595      2020-5-14    yes   
    54998      2020-1-23    no    
    27678      2018-7-13    no    
    65735      2020-10-25   yes   
    23589      2020-1-4     no    
    16913      2019-1-11    yes   
    30568      2019-10-11   yes   
    38207      2018-5-6     no    
    80844      2016-1-6     no    
    86031      2016-1-8     yes   
    92239      2017-4-21    no    
    98388      2015-5-14    no    
    87752      2018-6-9     yes   
    71034      2017-4-25    yes   
    66556      2020-9-19    yes   
    94921      2015-7-22    yes   
    50641      2020-7-4     yes   
    77274      2017-11-20   no    
